"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "JSON", "JavaScript", "CSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\next.config.mjs", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 2, 4, 8
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\package.json", "JSON", 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\CardTitle.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\CardTitleOrder.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\CardTitleStorage.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\CreateAupdateSpecification.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 0, 0, 0, 0, 13, 103
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\CreateUpdateOrder.tsx", "TypeScript JSX", 0, 0, 92, 0, 0, 0, 0, 0, 0, 10, 102
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\CreateUpdateStorage.tsx", "TypeScript JSX", 0, 0, 93, 0, 0, 0, 0, 0, 0, 9, 102
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\Modal.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 1, 4, 36
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\NodesPage.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 0, 9, 62
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\Order.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\SearchBar.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\Specification.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Components\Storage.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Deficit\page.tsx", "TypeScript JSX", 0, 0, 106, 0, 0, 0, 0, 0, 3, 19, 128
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Models\Order.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Models\Specification.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Models\Storage.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Node\page.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Admin\Desktop\РГРТУ\3 kurs\6 семестр\КИС\практика\front\my-app\src\app\Order\page.tsx", "TypeScript JSX", 0, 0, 121, 0, 0, 0, 0, 0, 0, 16, 137
